Código,Nome,Estado,Sigla Gênero,Gênero,Data de nascimento,Idade,Primeira legislatura
364,Luciano Bivar,PE,M,Masculino,29/11/1944,80,TRUE
365,Luciano Ducci,PR,M,Masculino,23/03/1955,70,FALSE
366,Luciano Galego,MA,M,Masculino,16/07/1984,41,TRUE
367,Luciano Vieira,RJ,M,Masculino,26/04/1988,37,TRUE
368,Lucio Mosquini,MT,M,Masculino,23/07/1969,56,TRUE
369,Lucyana Genésio,MA,F,Feminino,08/10/1979,46,TRUE
370,Luis Carlos Gomes,RJ,M,Masculino,05/05/1966,59,TRUE
371,Luis Tibé,MG,M,Masculino,23/07/1971,54,TRUE
372,Luisa Canziani,PR,F,Feminino,11/04/1996,29,TRUE
373,Luiz Antonio Corrêa,RJ,M,Masculino,27/12/1940,84,TRUE
374,Luiz Carlos Busato,SC,M,Masculino,06/11/1948,76,TRUE
375,Luiz Carlos Hauly,PR,M,Masculino,08/10/1950,75,TRUE
376,Luiz Carlos Motta,SP,M,Masculino,24/04/1959,66,FALSE
377,Luiz Couto,PB,M,Masculino,13/02/1945,80,FALSE
378,Luiz Fernando Faria,MG,M,Masculino,12/09/1957,68,TRUE
379,Luiz Fernando Vampiro,SC,M,Masculino,07/11/1973,51,TRUE
380,Luiz Gastão,RJ,M,Masculino,19/08/1962,63,TRUE
381,Luiz Lima,RJ,M,Masculino,10/12/1977,47,TRUE
382,Luiz Marinho,SP,M,Masculino,20/05/1959,66,TRUE
383,Luiz Nishimori,PR,M,Masculino,09/04/1949,76,TRUE
384,Luiz Philippe de Orleans e Bragança,RJ,M,Masculino,03/04/1969,56,TRUE
385,Luiza Erundina,PB,F,Feminino,30/11/1934,90,TRUE
386,Luizianne Lins,CE,F,Feminino,18/11/1968,56,TRUE
387,Lula da Fonte,PE,M,Masculino,08/12/2000,24,TRUE
